EUW1_6567466927,EUW1_6567443496,EUW1_6566155604,EUW1_6560637223,EUW1_6560585278,EUW1_6544893907,EUW1_6528881420,EUW1_6528873014,EUW1_6528865152,EUW1_6528837280,EUW1_6528807748,EUW1_6506446128,EUW1_6505202344,EUW1_6492706975,EUW1_6492688143,EUW1_6482838482,EUW1_6478868274,EUW1_6478843927,EUW1_6475736753,EUW1_6474281403,EUW1_6474240178,EUW1_6474216675,EUW1_6472812704,EUW1_6472791142,EUW1_6471214558,EUW1_6471181327,EUW1_6470360248,EUW1_6470349536,EUW1_6470285766,EUW1_6469680461,EUW1_6469654594,EUW1_6468056616,EUW1_6468043078,EUW1_6468029508,EUW1_6466440371,EUW1_6462044775,EUW1_6448662610,EUW1_6417042350,EUW1_6415576125,EUW1_6415560536,EUW1_6415526519,EUW1_6415486601,EUW1_6413760802,EUW1_6413707153,EUW1_6413657223,EUW1_6410952917,EUW1_6410922680,EUW1_6410885726,EUW1_6399850933,EUW1_6384042587
EUW1_6559292026,EUW1_6552445987,EUW1_6547637749,EUW1_6547565696,EUW1_6547502773,EUW1_6547423578,EUW1_6547328797,EUW1_6541713382,EUW1_6541613664,EUW1_6541519530,EUW1_6541354440,EUW1_6541230486,EUW1_6540220674,EUW1_6539188303,EUW1_5607805872,EUW1_5607746071,EUW1_5607609241,EUW1_5607601729,EUW1_5604605157,EUW1_5604468945,EUW1_5602528654,EUW1_5602552969,EUW1_5602404866,EUW1_5602318326,EUW1_5602371352,EUW1_5597474454,EUW1_5597427903,EUW1_5597344546,EUW1_5597296989,EUW1_5597113464,EUW1_5596887937,EUW1_5596756646,EUW1_5596720598,EUW1_5596534960,EUW1_5596530604,EUW1_5596466051,EUW1_5596379731,EUW1_5596059742,EUW1_5596096600,EUW1_5595695958,EUW1_5595621601,EUW1_5595556875,EUW1_5595469121,EUW1_5595009374,EUW1_5594649332,EUW1_5594637097,EUW1_5594671265,EUW1_5593180409,EUW1_5593063659,EUW1_5590566848
EUW1_6702762172,EUW1_6702571095,EUW1_6702510399,EUW1_6702446894,EUW1_6700176154,EUW1_6700077494,EUW1_6699938707,EUW1_6699859868,EUW1_6699815529,EUW1_6699017380,EUW1_6698968498,EUW1_6698764399,EUW1_6698732987,EUW1_6698634310,EUW1_6698578940,EUW1_6698527525,EUW1_6698440134,EUW1_6698358405,EUW1_6698330499,EUW1_6698312105,EUW1_6696559604,EUW1_6696494589,EUW1_6696317105,EUW1_6696244115,EUW1_6695772447,EUW1_6695731035
EUW1_6697512729,EUW1_6697462462,EUW1_6696372431,EUW1_6696280029,EUW1_6696211442,EUW1_6696158564,EUW1_6344020607,EUW1_6343934424,EUW1_6332228870,EUW1_6332218843,EUW1_6175192044,EUW1_6168081780,EUW1_6167995256,EUW1_6053919762,EUW1_6053884632,EUW1_6053762462,EUW1_6053675674,EUW1_6052408147,EUW1_6052396817,EUW1_6050741011,EUW1_6050717940,EUW1_6050686027,EUW1_6050664936,EUW1_6050598884,EUW1_6017850970,EUW1_6017742754,EUW1_6017647900,EUW1_6017644016,EUW1_6017519982,EUW1_6017496266,EUW1_6017491753,EUW1_6011065798,EUW1_6011042099,EUW1_6010966713,EUW1_6004754735,EUW1_6004677798,EUW1_6004661486,EUW1_6004535800,EUW1_5998109382,EUW1_5998152526,EUW1_5998007700,EUW1_5996565773,EUW1_5996519271,EUW1_5995002278,EUW1_5994915330,EUW1_5993218751,EUW1_5993205018,EUW1_5901227046,EUW1_5900891627,EUW1_5873530272
EUW1_6704510645,EUW1_6701958186,EUW1_6700925697,EUW1_6684507117,EUW1_6663292208,EUW1_6663253128,EUW1_6663183230,EUW1_6658250679,EUW1_6655883097,EUW1_6655505130,EUW1_6566130162,EUW1_6559211010,EUW1_6416215927,EUW1_6409957630,EUW1_6409860478,EUW1_6406539743,EUW1_6403704160,EUW1_6403663052,EUW1_6403569189,EUW1_6344963482,EUW1_6334587138,EUW1_6334548698,EUW1_6334492870,EUW1_6334426448,EUW1_6325360954,EUW1_6325337323,EUW1_6324033444,EUW1_6323962063,EUW1_6319935000,EUW1_6313187576,EUW1_6306087324,EUW1_6304855107,EUW1_6292295270,EUW1_6082526041,EUW1_6030290072,EUW1_6030258483,EUW1_6030196414,EUW1_5821059105,EUW1_5348046756
EUW1_6649665692,EUW1_6649603459,EUW1_6595813701,EUW1_6570307506,EUW1_6568800855,EUW1_6568758841,EUW1_6568718553,EUW1_5858420885,EUW1_5857016726,EUW1_5855499201,EUW1_5855472910,EUW1_5855442528,EUW1_5823757239,EUW1_5814602625,EUW1_5814347793,EUW1_5814335466,EUW1_5814270588,EUW1_5814198349,EUW1_5814167216,EUW1_5812672387,EUW1_5812559617,EUW1_5812577666,EUW1_5811557678,EUW1_5811573507,EUW1_5811366579,EUW1_5811313525,EUW1_5811390464,EUW1_5810919967,EUW1_5808338293,EUW1_5808083968,EUW1_5808003302,EUW1_5808011106,EUW1_5807918760,EUW1_5803173896,EUW1_5800219714,EUW1_5800146559,EUW1_5800202981,EUW1_5799710335,EUW1_5799695000,EUW1_5798594892,EUW1_5798601948,EUW1_5798542912,EUW1_5798521517,EUW1_5797211920,EUW1_5792812059,EUW1_5792786864,EUW1_5792744101,EUW1_5791301005,EUW1_5791130071,EUW1_5791156927
EUW1_6684546217,EUW1_6572556934,EUW1_6567061200,EUW1_6566938464,EUW1_6565827174,EUW1_6565644985,EUW1_6395505201,EUW1_6394617217,EUW1_6394060319,EUW1_6393928405,EUW1_6393854146,EUW1_6393851949,EUW1_6393823052,EUW1_6393815005,EUW1_6393804797,EUW1_6393480572,EUW1_6393369627,EUW1_6393287251,EUW1_6392681461,EUW1_6392592231,EUW1_6391987660,EUW1_6391942793,EUW1_6391844663,EUW1_6391819223,EUW1_6391719468,EUW1_6391609233,EUW1_6391186316,EUW1_6391108345,EUW1_6391061925,EUW1_6390434467,EUW1_6390371410,EUW1_6390311175,EUW1_6389857275,EUW1_6389806007,EUW1_6389674935,EUW1_6389479582,EUW1_6388339430,EUW1_6388291181,EUW1_6388218434,EUW1_6386937574,EUW1_6386708420,EUW1_6386645453,EUW1_6386615688,EUW1_6386367786,EUW1_6386324050,EUW1_6386299961,EUW1_6386246429,EUW1_6384895498,EUW1_6384773437,EUW1_6384699119
EUW1_6682740185,EUW1_6655217581,EUW1_6652747894,EUW1_6652651308,EUW1_6652089223,EUW1_6651506104,EUW1_6641747684,EUW1_6633090489,EUW1_5783555789,EUW1_5665398895,EUW1_5657777158,EUW1_5655502520,EUW1_5577753004,EUW1_5510305695,EUW1_5498390342,EUW1_5498327598,EUW1_5450930299,EUW1_5449177652,EUW1_5448108510,EUW1_5432847979,EUW1_5432770264,EUW1_5431893048,EUW1_5431114806,EUW1_5394778792,EUW1_5393360313,EUW1_5393356910,EUW1_5349903953
EUW1_6704614605,EUW1_6703268400,EUW1_6703191685,EUW1_6702307407,EUW1_6702282833,EUW1_6701981347,EUW1_6701913616,EUW1_6701717886,EUW1_6700289138,EUW1_6699127893,EUW1_6699050745,EUW1_6695290765,EUW1_6692828053,EUW1_6683386203,EUW1_6683220074,EUW1_6683116377,EUW1_6683052069,EUW1_6683008676,EUW1_6682893532,EUW1_6682872481,EUW1_6682567009,EUW1_6682514465,EUW1_6682442357,EUW1_6512660336,EUW1_6463569951,EUW1_6463526013,EUW1_6443324251,EUW1_6443289908,EUW1_6439074599,EUW1_6439023566,EUW1_6429014627,EUW1_6426464140,EUW1_6423102497,EUW1_6423063493,EUW1_6421632602,EUW1_6421577562,EUW1_6421526576,EUW1_6418642539,EUW1_6418607459,EUW1_6418553201,EUW1_6415513366,EUW1_6415479016,EUW1_6415396203,EUW1_6415332969,EUW1_6414636809,EUW1_6414574652,EUW1_6414503185,EUW1_6414380459,EUW1_6405131094,EUW1_6399134875
EUW1_6701816075,EUW1_6696673487,EUW1_6696594016,EUW1_6696184835,EUW1_6694866436,EUW1_6694828827,EUW1_6689199511,EUW1_6630623343,EUW1_6613906299,EUW1_6613841706,EUW1_6613775386,EUW1_6613605990,EUW1_6613413790,EUW1_6603135729,EUW1_6603042278,EUW1_6603003175,EUW1_6602147860,EUW1_6601824960,EUW1_6601772296,EUW1_6594042840,EUW1_6594005253,EUW1_6593953591,EUW1_6582415542,EUW1_6277701219,EUW1_6277632197,EUW1_6277339771,EUW1_6277273639,EUW1_6265734431,EUW1_6265668950,EUW1_6262373563,EUW1_6246455682,EUW1_6241090224,EUW1_6241066188,EUW1_6237172406,EUW1_6236968534,EUW1_6236046403,EUW1_6235964886,EUW1_6235888300,EUW1_6235790314,EUW1_6235701899,EUW1_6231733149,EUW1_6231663111,EUW1_6231610220,EUW1_6231557569,EUW1_6231538130,EUW1_6228828129,EUW1_6228781698,EUW1_6128697847,EUW1_6128611440,EUW1_6070654990
EUW1_6704619157,EUW1_6692186965,EUW1_6691407961,EUW1_6691338081,EUW1_6691275423,EUW1_6690924457
EUW1_6681042768,EUW1_6681000628,EUW1_6677084989,EUW1_6677074568,EUW1_6677034668,EUW1_6677008525,EUW1_6676957953,EUW1_6676921383,EUW1_6676026928,EUW1_6674833350,EUW1_6674804490,EUW1_6674744739,EUW1_6674683437,EUW1_5922950114,EUW1_5923013182,EUW1_5869234322,EUW1_5800339553,EUW1_5800414671,EUW1_5799671401,EUW1_5798559956,EUW1_5798562023,EUW1_5798541303,EUW1_5797770800,EUW1_5795744675,EUW1_5795183609,EUW1_5795063259,EUW1_5795007229,EUW1_5794007736,EUW1_5794043666,EUW1_5794002426,EUW1_5793268382,EUW1_5793202162,EUW1_5792853156,EUW1_5792780395,EUW1_5779562213,EUW1_5767753242,EUW1_5765458400,EUW1_5765358909,EUW1_5765295005,EUW1_5760156366,EUW1_5760190523,EUW1_5759924613,EUW1_5759446017,EUW1_5758835196,EUW1_5758773251,EUW1_5758841157,EUW1_5758418555,EUW1_5755740171,EUW1_5755772538,EUW1_5750568694
